DATE,LOCATION,LATITTUDE (NORTH),LONGITUDE (EAST),MAXIMUM DEPTH (M)
14/2/2020,Lot 1593 Kg. Segambut Dalam,3.1027,101.7404,0.1-0.9
14/2/2020,Sekitar Masjid Ubudiah Segambut Dalam,,,
14/2/2020,Kg. Sg. Penchala,,,
14/2/2020,"Terowong menghala Bandar Tun Razak
(berdekatan MRT Taman Permata)",,,
14/2/2020,Hospital Pantai Cheras,,,0.1-0.3
29/4/2020,Jalan Cheras berhadapan EkoCheras Mall,3.0939,101.7395,0.1-0.9
16/5/2020,Jalan Melaka – Wisma Lee Rubber,3.1499,101.697,0.1-0.6
16/5/2020,Jalan Cheras – EkoCheras Mall,3.0939,101.7395,0.1-0.6
17/5/2020,Kolej Telekom Jalan Semarak,3.1731,101.7152,0.1-0.6
12/6/2020,Kolej Telekom Jalan Semarak,3.1731,101.715,0.1-0.3
18/7/2020,Kolej Telekom Jalan Semarak,3.1731,101.715,0.1 – 0.3
18/7/2020,"PPR Beringin, Jinjang",3.2183,101.6656,0.1 – 0.5
18/7/2020,Jalan Kuching,3.175,101.6818,0.1 – 0.3
18/7/2020,Lebuh Ampang,3.149,101.6971,0.1 – 0.5
18/7/2020,Jalan Raja Chulan – Muzium Telekom,3.1488,101.7002,0.1 – 0.3
18/7/2020,Jalan Melaka – LRT Masjid Jamek,3.1498,101.6973,0.1 – 0.5
18/7/2020,Segambut Dalam – Masjid Ubudiah,3.1793,101.6523,0.1 – 1.0
23/7/2020,Jalan Cheras – Pusat Penjaja Desa Aman,3.0962,101.7393,0.1-0.3
23/7/2020,Jalan Cheras – EkoCheras Mall,3.0938,101.7397,0.1-0.6
31/7/2020," Jln Raja Ali, Kg Baru",3.1612,101.7036,0.1 – 0.3
31/7/2020,"Kg Periuk, Kg Baru",3.1622,101.6997,0.1 – 0.3
31/7/2020,"Kolej Telekom, Jln Semarak",3.1729,101.7151,0.1 – 0.3
31/7/2020,Jln Batu Bata,3.1719,101.6943,0.1 – 0.6
31/7/2020,Jln Rahmat PWTC,3.1706,101.6929,0.1 – 0.3
31/7/2020,f) Jln Ipoh (menghala Jln Chow Kit),3.1708,101.694,0.1 – 0.3
31/7/2020,"g) Kg Chubadak Tambahan, Sentul",3.1983,101.696,0.1 – 0.3
2/9/2020,a) Hospital Pantai Cheras,3.102,101.741,0.1-0.3
2/9/2020,b) Jalan Cheras berhadapan EkoCheras Mall,3.0928,101.7399,0.1-0.9
2/9/2020,"c) Jalan 9, Kg Cheras Baru",3.1061,101.7501,0.1-0.3
2/9/2020,"d) Jalan MRR2 berhampiran Bandar Tasik
Selatan",3.0796,101.7201,0.1-0.6
10/9/2020,d) Jln Raja Chulan,3.1724,101.7153,0.1-0.9
10/9/2020,b) Jln Melaka (berdekatan LRT Masjid Jamek),3.1499,101.6971,
10/9/2020,c) Jln Tun H S Lee,3.149,101.698,
10/9/2020,d) Jln Raja Chulan,3.1485,101.6992,
10/9/2020,"e) Kg Periuk, Kg Baru",3.1628,101.7,
10/9/2020,"f) Jln Hassan Salleh, Kg Baru",3.1612,101.7072,
10/9/2020,"g) Jalan Tun Razak (berdekatan
Perpustakaan Negara)",3.1696,101.7113,
10/9/2020,h) Jalan Batu Bata,3.1719,101.6942,
10/9/2020,i) Jalan Larut,3.1723,101.6941,
10/9/2020,j) Jalan Sentul Manis,3.1733,101.6941,
10/9/2020,k) Jalan Sultan Azlan Shah,3.1711,101.6936,
10/9/2020,"l) Sekolah Rendah Agama Tengku Ampuan
Jemaah",3.1623,101.7,
10/9/2020,m) Jalan Dang Wangi,3.1566,101.6986,
10/9/2020,n) Jalan Ampang,3.1497,101.6981,
23/9/2020,"a) Kolej TM, Jln Semarak",3.173,101.715,0.1-0.3
23/9/2020,b) Flat PKNS Jln Tun Razak,3.1656,101.7139,
23/9/2020,"c) Jalan Union, Sentul",3.1763,101.6914,
23/9/2020,d) Sekitar Menara PJD (Jln Sentul Manis),3.1733,101.694,
23/9/2020,"e) Jalan Sentul Pasar (berdekatan Masjid Al
Hidayah)",3.1923,101.6909,
15/11/2020,"a) Kolej TM, Jln Semarak",3.173,101.715,0.1 – 0.3
15/11/2020,"b) Lorong Delapan, Kampung Pandan",3.1413,101.7367,0.1 – 0.5
15/11/2020,c) Jalan Raja Chulan - Muzium Telekom,3.1488,101.7002,0.1 – 0.3
